date,aaii_observed,aaii_pct,aaii_score,aaii_source_date,aaii_spread,breadth_pct,breadth_raw,breadth_score,calculation_quality,concentration_raw,core_quality,credit_pct,credit_score,decision_state,decision_trend_quality,decision_trend_score,drawdown_52w,drawdown_pct,drawdown_score,fragility,fragility_quality,hy_oas,hy_oas_source_date,put_call,put_call_observed,put_call_pct,put_call_score,put_call_source_date,qqq,qqq_ma20,qqq_ma200,qqq_ma200_slope,qqq_ma20_slope,qqq_ma50,qqq_ma50_slope,qqq_reclaim20_5d,qqq_reclaim50_5d,qqq_relative_63d,qqq_source_date,qqq_trend_score,qqq_vol20,research_exposure,rsp,smh,smh_ma20,smh_ma200,smh_ma200_slope,smh_ma20_slope,smh_ma50,smh_ma50_slope,smh_reclaim20_5d,smh_reclaim50_5d,smh_relative_63d,smh_source_date,smh_trend_score,smh_vol20,soxx,soxx_ma20,soxx_ma200,soxx_ma200_slope,soxx_ma20_slope,soxx_ma50,soxx_ma50_slope,soxx_reclaim20_5d,soxx_reclaim50_5d,soxx_relative_63d,soxx_source_date,soxx_trend_score,soxx_vol20,sp500,spy,stress,stress_quality,stretch_200d,term_pct,term_ratio,term_score,term_source_date,umsi,umsi_core,umsi_live,vix,vix3m,vix3m_source_date,vix_pct,vix_score,vix_source_date,stress_live,stress_core,stress_core_quality,fragility_live,fragility_core,fragility_core_quality
2024-10-25,,,,,,41.11111111111111,-0.02786112247306738,41.11111111111111,0.8500000000000001,0.02786112247306738,1.0,1.7064846416382253,98.29351535836177,ADD_WATCH,1.0,87.0,-0.009642453103212434,62.06349206349206,62.06349206349206,50.4563492063492,0.8,2.89,2024-10-25,,,,,,490.8681335449219,485.7475875854492,451.2206604003906,0.019483376467358093,0.003781424219325924,475.83795166015625,0.02707954895770648,True,False,0.0028546942959448707,2024-10-25,100.0,0.13468383563836595,50,173.0485382080078,251.0625762939453,248.2071533203125,229.1337989807129,0.035248038151123096,0.005692347741267145,240.9783837890625,0.0271318972868424,True,False,-0.00562989574868189,2024-10-25,95.0,0.27193796417715005,227.3646240234375,227.8375114440918,221.60384063720704,0.019960863155972675,-0.0017687339134330182,223.87759674072265,0.015569309712159862,False,False,-0.056960129985309194,2024-10-25,80.0,0.25485432937423713,5808.1201171875,567.3840942382812,61.05291005291005,1.0,0.08891168463375787,88.33333333333333,0.9708691499522444,11.666666666666671,2024-10-25,36.46520146520147,36.46520146520147,51.01304002829801,20.33,20.94,2024-10-25,53.73015873015873,46.26984126984127,2024-10-25,46.21630370009209,61.05291005291005,1.0,50.45634920634921,50.4563492063492,1.0
2024-10-28,,,,,,35.0,-0.034987865516772555,35.0,0.8500000000000001,0.034987865516772555,1.0,0.3401360544217687,99.65986394557824,ADD_WATCH,1.0,87.0,-0.007016576020802523,67.22222222222223,67.22222222222223,53.84920634920635,0.8,2.82,2024-10-28,,,,,,490.9474487304688,486.11079559326174,451.6557745361328,0.019415173853120526,0.0032601985146420986,476.25490295410157,0.027386293361613356,True,False,0.008710248056757575,2024-10-28,100.0,0.1345348086117519,50,174.02981567382812,249.32571411132807,248.49299392700195,229.51913688659667,0.03517131528697148,0.004046337288378776,241.06770874023437,0.027746540106031725,True,False,0.018430026567281876,2024-10-28,100.0,0.2708783124964066,227.50328063964844,227.79443130493163,221.82161903381348,0.01978679921031934,-0.003024983508032597,223.8588131713867,0.015965690462846904,False,False,-0.028799347010402765,2024-10-28,80.0,0.2529098070173316,5823.52001953125,569.1381225585938,59.79365079365079,1.0,0.09073216338065637,91.34920634920634,0.9816559246405552,8.65079365079366,2024-10-28,34.96336996336997,34.96336996336997,50.1860744297719,19.8,20.17,2024-10-28,51.507936507936506,48.492063492063494,2024-10-28,44.93027210884353,59.79365079365079,1.0,53.84920634920635,53.84920634920635,1.0
2024-10-29,,,,,,39.6031746031746,-0.030087983251520664,39.6031746031746,0.8500000000000001,0.030087983251520664,1.0,0.6779661016949152,99.32203389830508,ADD_WATCH,1.0,96.75,-0.005413774419183226,69.76190476190476,69.76190476190476,52.579365079365076,0.8,2.85,2024-10-29,,,,,,495.6646728515625,487.04680786132815,452.11343841552736,0.019532768151501623,0.004104559891686899,476.6426934814453,0.028239247116643718,True,False,0.003584157290241974,2024-10-29,100.0,0.12607580301888982,50,173.50515747070312,254.99285888671875,249.3882278442383,229.93583763122558,0.0354335884659267,0.005991363911336478,241.1784716796875,0.02986073191457761,True,False,-0.018164087815793373,2024-10-29,95.0,0.2595976049097403,233.09873962402344,228.35100784301758,222.07143257141112,0.019974344266238786,-0.0008861210283731547,223.8742855834961,0.018004487019255055,True,False,-0.053854230088763666,2024-10-29,95.0,0.24460855851384153,5832.919921875,570.0592041015625,56.71428571428571,1.0,0.09142046605485388,87.38095238095238,0.9689378757515029,12.61904761904762,2024-10-29,38.614163614163616,38.614163614163616,52.898368386902774,19.34,19.96,2024-10-29,48.80952380952381,51.19047619047619,2024-10-29,42.705205811138015,56.71428571428571,1.0,52.579365079365076,52.579365079365076,1.0
2024-10-30,,,,,,40.07936507936508,-0.029544202500498343,40.07936507936508,0.8500000000000001,0.029544202500498343,1.0,0.33783783783783783,99.66216216216216,ADD_WATCH,1.0,87.0,-0.008696141586719497,63.73015873015873,63.73015873015873,50.33730158730158,0.8,2.8,2024-10-30,,,,,,491.9186401367188,487.76182250976564,452.5525698852539,0.019596700286339752,0.0053178002485994025,476.9755541992188,0.028869132366604155,True,False,0.00932183913848883,2024-10-30,100.0,0.13053145989739226,50,173.1262664794922,248.7996520996093,249.803091430664,230.307925491333,0.03548709383005133,0.006965393871609438,241.2304782104492,0.031178859077807486,True,False,0.012817408225879623,2024-10-30,85.0,0.2744947689260917,224.8788452148437,228.3470474243164,222.2671685028076,0.019960808951681175,-0.0004205060371855751,223.78681091308593,0.018967821228209614,True,False,-0.02732929519955396,2024-10-30,80.0,0.2750613334510168,5813.669921875,568.3345947265625,61.52380952380952,1.0,0.08675330198371567,90.7936507936508,0.9802504816955684,9.206349206349202,2024-10-30,35.592185592185594,35.592185592185594,50.66747419688596,20.35,20.76,2024-10-30,53.96825396825397,46.03174603174603,2024-10-30,46.227316602316606,61.52380952380952,1.0,50.33730158730158,50.33730158730158,1.0
2024-10-31,,,,,,43.888888888888886,-0.022323453079323017,43.888888888888886,0.8500000000000001,0.022323453079323017,1.0,2.0202020202020203,97.97979797979798,ADD_WATCH,1.0,52.5,-0.027148966384044293,48.57142857142857,48.57142857142857,42.82738095238095,0.8,2.88,2024-10-31,,,,,,479.5012817382813,487.8738098144531,452.94101165771485,0.0195725355294174,0.005256022344099387,477.01573303222654,0.02812677696161514,False,False,0.008775199169714254,2024-10-31,85.0,0.16144479775055853,50,171.28024291992188,239.8671722412109,249.6606666564941,230.64061111450195,0.03533091842632863,0.006906911643473235,241.05282043457032,0.03010738843937677,False,False,0.033728798093621615,2024-10-31,65.0,0.3036030259161961,216.15383911132807,227.86672668457032,222.42778900146484,0.0197837212888079,-0.0005451450688327419,223.45982971191407,0.017584714109635913,True,False,-0.011590336885049513,2024-10-31,35.0,0.30726041513906427,5705.4501953125,557.1935424804688,73.43386243386243,1.0,0.06556140611142691,96.11111111111111,1.0229681978798586,3.8888888888888857,2024-10-31,29.279609279609282,29.279609279609282,45.444359562006625,23.16,22.64,2024-10-31,69.2063492063492,30.793650793650798,2024-10-31,55.58044733044733,73.43386243386243,1.0,42.82738095238095,42.82738095238095,1.0
2024-11-01,,,,,,42.22222222222222,-0.02639646120926773,42.22222222222222,0.8500000000000001,0.02639646120926773,1.0,1.006711409395973,98.99328859060402,ADD_WATCH,1.0,52.5,-0.02316756424444444,51.031746031746025,51.031746031746025,45.625,0.8,2.83,2024-11-01,,,,,,483.0490417480469,487.87926025390624,453.3186750793457,0.019487880742053543,0.004388436963842057,477.27827880859377,0.02738944310577196,False,False,0.01269023450684914,2024-11-01,85.0,0.15790285840954127,50,171.38710021972656,242.9141540527344,249.50831756591793,230.9603943634033,0.03504911271399114,0.0052422511930037,241.09907073974608,0.029321881424667406,False,True,0.03639315557969769,2024-11-01,85.0,0.30320936527852366,218.45147705078125,227.3467933654785,222.5695223236084,0.01943619269820207,-0.002153807226487836,223.33766204833984,0.01637975922988777,True,False,-0.016901236735309633,2024-11-01,35.0,0.30537756640590374,5728.7998046875,559.545166015625,69.17460317460318,1.0,0.06897605305830679,93.96825396825396,0.9986307622090369,6.031746031746039,2024-11-01,31.471306471306473,31.471306471306473,47.358831675847064,21.88,21.91,2024-11-01,61.98412698412699,38.01587301587301,2024-11-01,52.13263023330138,69.17460317460318,1.0,45.625,45.625,1.0
2024-11-04,,,,,,43.095238095238095,-0.024869182528096133,43.095238095238095,0.8500000000000001,0.024869182528096133,1.0,1.6722408026755853,98.32775919732441,ADD_WATCH,1.0,52.5,-0.025914498598100133,49.76190476190476,49.76190476190476,44.33035714285713,0.8,2.87,2024-11-04,,,,,,481.641845703125,488.0730041503906,453.6488952636719,0.01937951727617837,0.004036545937504021,477.4107489013672,0.02680807382369288,False,False,0.011583420249987153,2024-11-04,85.0,0.1532045253489564,50,171.5911407470703,242.4377593994141,249.31229858398433,231.24370330810547,0.034609184507532476,0.0032970935881719843,241.01728881835936,0.028283434862210743,False,True,0.02618556456038812,2024-11-04,85.0,0.30315267380074895,217.19371032714844,226.7951675415039,222.6677902984619,0.01892816034145861,-0.004386690919981673,223.0700079345703,0.015011916106428158,True,False,-0.02029374211647017,2024-11-04,35.0,0.30564377328281916,5712.68994140625,558.3399658203125,70.4126984126984,1.0,0.06510260146939406,95.71428571428572,1.0190078813166434,4.285714285714278,2024-11-04,30.824175824175825,30.824175824175825,46.707371911975486,21.98,21.57,2024-11-04,62.77777777777778,37.22222222222222,2024-11-04,53.227584010192714,70.4126984126984,1.0,44.33035714285714,44.33035714285713,1.0
2024-11-05,,,,,,41.50793650793651,-0.027800389244007274,41.50793650793651,0.8500000000000001,0.027800389244007274,1.0,1.6666666666666667,98.33333333333333,ADD_WATCH,1.0,55.75,-0.013966712081182608,57.85714285714286,57.85714285714286,48.00595238095238,0.8,2.86,2024-11-05,,,,,,487.7861022949219,488.2171966552734,454.007123260498,0.01918397488970114,0.0024030314439069667,477.7583374023437,0.026415795859053848,False,False,0.016490569059405935,2024-11-05,85.0,0.15064710412878335,50,173.5926055908203,246.44744873046875,249.10337753295894,231.5427433013916,0.03403147867417822,-0.0011421963006901237,241.13122772216798,0.027558195522582096,False,True,0.05280530779521575,2024-11-05,85.0,0.3025490216501611,219.72901916503903,226.25790252685547,222.77549850463868,0.01828276560994979,-0.009166175073775151,222.96884674072265,0.014150730957500413,False,False,0.0006261519839096952,2024-11-05,40.0,0.30667117307486186,5782.759765625,565.0913696289062,64.65608465608466,1.0,0.07723050612559934,95.3968253968254,1.0148588410104011,4.603174603174594,2024-11-05,33.69352869352869,33.69352869352869,48.90289449112978,20.49,20.19,2024-11-05,54.047619047619044,45.952380952380956,2024-11-05,48.908730158730165,64.65608465608466,1.0,48.00595238095237,48.00595238095238,1.0
2024-11-06,,,,,,43.888888888888886,-0.023151755465939994,43.888888888888886,0.8500000000000001,0.023151755465939994,1.0,0.33222591362126247,99.66777408637874,HOLD_NO_CHASE,1.0,96.75,0.0,100.0,100.0,58.67559523809523,0.8,2.74,2024-11-06,,,,,,501.035888671875,488.8331100463867,454.4229661560059,0.019127283366260572,0.0021963333069177082,478.34281494140623,0.02608710548107629,True,False,0.011381489973256942,2024-11-06,100.0,0.1767448167744698,70,177.702392578125,252.8986968994141,249.08650512695309,231.86927558898927,0.03361389429153072,-0.0028686046261754417,241.32575775146483,0.02615810348834824,True,True,0.014072286467750716,2024-11-06,100.0,0.315116965038991,226.1365661621093,225.9206886291504,222.90867332458495,0.017815973533732654,-0.010625750683157853,222.94604370117187,0.01266889619456224,True,True,-0.038303235439854366,2024-11-06,95.0,0.3236382160288092,5929.0400390625,579.1426391601562,33.989417989417994,1.0,0.10338611456438018,67.77777777777779,0.9207696661007356,32.222222222222214,2024-11-06,55.305250305250304,55.305250305250304,65.74349119492757,16.27,17.67,2024-11-06,28.49206349206349,71.5079365079365,2024-11-06,25.57511997046881,33.989417989417994,1.0,58.675595238095234,58.67559523809523,1.0
2024-11-07,,,,,,42.22222222222222,-0.026436488594352638,42.22222222222222,0.8500000000000001,0.026436488594352638,1.0,0.33112582781456956,99.66887417218543,HOLD_NO_CHASE,1.0,96.75,0.0,100.0,100.0,63.015873015873005,0.8,2.73,2024-11-07,,,,,,508.9243469238281,489.8711929321289,454.8666569519043,0.0191463000608183,0.0040940568595706495,479.1921398925781,0.026940522459889316,True,False,0.018598882344755596,2024-11-07,100.0,0.18367459080811513,70,177.87725830078125,259.0621032714844,249.40261611938476,232.20995086669922,0.03327261669914483,-0.0010336050951285092,241.72533752441407,0.027193058572695605,True,True,0.03563794018153965,2024-11-07,100.0,0.3264649444370847,230.8506622314453,225.90088272094727,223.0508962249756,0.017443229259482607,-0.008627165502510303,223.09952239990236,0.013485322345838213,True,True,-0.015670155187808343,2024-11-07,95.0,0.33207618235530095,5973.10009765625,583.6204833984375,27.502645502645507,1.0,0.11044434179921536,55.55555555555556,0.8967551622418879,44.44444444444444,2024-11-07,59.94505494505495,59.94505494505495,69.29183593967387,15.2,16.95,2024-11-07,22.460317460317462,77.53968253968253,2024-11-07,20.709765583937774,27.502645502645507,1.0,63.01587301587301,63.015873015873005,1.0
2024-11-08,,,,,,45.23809523809524,-0.02116117462450631,45.23809523809524,0.8500000000000001,0.02116117462450631,1.0,0.33003300330033003,99.66996699669967,ADD_CONFIRMED,1.0,96.75,0.0,100.0,100.0,62.70337301587301,0.8,2.63,2024-11-08,,,,,,509.5191040039063,490.900862121582,455.31075592041014,0.019185613794790335,0.006193339446532775,480.0670166015625,0.027316751490961577,True,False,0.013741027514430737,2024-11-08,100.0,0.18369659399201016,100,178.86830139160156,257.39471435546875,249.53412170410155,232.5422891998291,0.032903500730530055,0.0001034199518290535,242.15072265625,0.026776563800750663,True,False,0.015542540463441057,2024-11-08,100.0,0.3266359596795681,229.12744140625,225.69785995483397,223.1873120880127,0.01707645897855259,-0.007252943339269957,223.23138000488282,0.012483612974212077,True,True,-0.03229538512264263,2024-11-08,95.0,0.3316097624619721,5995.5400390625,586.1486206054688,25.4021164021164,1.0,0.1134761480271238,50.87301587301587,0.8877005347593584,49.12698412698413,2024-11-08,62.62515262515263,62.62515262515263,71.34157953610486,14.94,16.83,2024-11-08,21.11111111111111,78.88888888888889,2024-11-08,19.134095552412383,25.4021164021164,1.0,62.70337301587301,62.70337301587301,1.0
2024-11-11,,,,,,49.44444444444444,-0.013961782753395637,49.44444444444444,0.8500000000000001,0.013961782753395637,1.0,0.6578947368421052,99.34210526315789,ADD_CONFIRMED,1.0,80.5,0.0,100.0,100.0,60.411706349206355,0.8,2.63,2024-11-11,,,,,,509.2216796875,491.71051635742185,455.7658995056152,0.01921219683891251,0.007452803527544516,480.82490966796877,0.02678809144544858,True,False,0.003920578661569696,2024-11-11,100.0,0.1823961159705575,100,179.76214599609375,251.6282958984375,249.14952850341797,232.8661415863037,0.03239812570021949,-0.0006528762579738334,242.3506118774414,0.023931205136239697,True,False,-0.031239799114406996,2024-11-11,95.0,0.3298448600567744,223.3933258056641,224.99322586059571,223.32226219177247,0.016615592879444918,-0.007945238430084434,223.13217559814453,0.008997763838059392,True,True,-0.07929977016332979,2024-11-11,70.0,0.3342808422094884,6001.35009765625,586.707275390625,25.857142857142854,1.0,0.11340716033098563,52.142857142857146,0.8910714285714286,47.857142857142854,2024-11-11,63.510378510378516,63.510378510378516,71.94137304044425,14.97,16.8,2024-11-11,21.19047619047619,78.80952380952381,2024-11-11,19.55733082706767,25.857142857142854,1.0,60.41170634920635,60.411706349206355,1.0
2024-11-12,,,,,,48.65079365079365,-0.016311797021338715,48.65079365079365,0.8500000000000001,0.016311797021338715,1.0,0.32786885245901637,99.67213114754098,HOLD_NO_CHASE,1.0,51.25,-0.00289265965137242,75.55555555555556,75.55555555555556,61.43353174603174,0.8,2.61,2024-11-12,,,,,,508.3000183105469,492.80359954833983,456.1950225830078,0.0192533816657372,0.009394185465992244,481.8505682373047,0.026541263413342397,True,False,0.00807064881186026,2024-11-12,100.0,0.17417943507617115,70,178.39224243164062,249.9708251953125,249.38276596069335,233.17073959350586,0.03212856968690492,0.0011215762327327905,242.88001098632813,0.02326300536032222,True,False,-0.03239574794503208,2024-11-12,95.0,0.26603905144843204,220.95703125,224.78277435302735,223.43481269836425,0.016330258360114147,-0.0065196758095688034,223.33279205322265,0.007676253128132249,True,True,-0.0812999718294406,2024-11-12,25.0,0.2821375228703869,5983.990234375,584.8846435546875,29.53439153439153,1.0,0.10909994080350471,45.714285714285715,0.8803111909036505,54.285714285714285,2024-11-12,61.88644688644689,61.88644688644689,70.77719612435138,14.71,16.71,2024-11-12,19.444444444444446,80.55555555555556,2024-11-12,22.232760863908407,29.53439153439153,1.0,61.43353174603174,61.43353174603174,1.0
2024-11-13,,,,,,49.523809523809526,-0.01401959365030574,49.523809523809526,0.8500000000000001,0.01401959365030574,1.0,1.3071895424836601,98.69281045751634,REDUCE_WATCH,1.0,49.5,-0.002661103682317534,76.34920634920634,76.34920634920634,63.73511904761904,0.8,2.64,2024-11-13,,,,,,507.64599609375,493.8610107421875,456.63493637084963,0.019297922296045877,0.010285515838572623,482.8868963623047,0.02649531885597467,False,False,-0.0016877973819616754,2024-11-13,95.0,0.17448006226940801,40,178.4893798828125,245.77256774902344,249.39814987182618,233.46372543334962,0.03178341748397728,0.0012511506583394727,243.33616394042969,0.02263112690002078,False,False,-0.07198926348368673,2024-11-13,80.0,0.2735115206070037,216.2627868652344,224.3376106262207,223.53921936035155,0.01597603998714292,-0.007007229008266336,223.42569244384765,0.006040284640843829,False,False,-0.1277859164503633,2024-11-13,25.0,0.29127704727623255,5985.3798828125,585.1688232421875,22.037037037037038,1.0,0.10826840284797123,27.857142857142858,0.8491823137492428,72.14285714285714,2024-11-13,68.54090354090354,68.54090354090354,75.6354698742242,14.02,16.51,2024-11-13,16.11111111111111,83.88888888888889,2024-11-13,16.854575163398696,22.037037037037038,1.0,63.73511904761905,63.73511904761904,1.0
